(0, 'ORO', 'CONSUMIBLE', '', '', '', +0, +0, +0, +0, +0, +0, +0, +0, +0, +0, +0, +1, 1, 'NINGUNA','ORO');
(1, 'POTA CHICA HP', 'CONSUMIBLE', '', '', '', +0, +0, +10, +0, +0, +0, +0, +0, +0, +0, +0, +20, 1, 'NINGUNA','POTA_CHICA_HP');
(2, 'POTA CHICA ENE', 'CONSUMIBLE', '', '', '', +0, +0, +0, +10, +0, +0, +0, +0, +0, +0, +0, +20, 1, 'NINGUNA','POTA_CHICA_ENE');
(3, 'POTA GRANDE HP', 'CONSUMIBLE', '', '', '', +0, +0, +50, +0, +0, +0, +0, +0, +0, +0, +0, +50, 1, 'NINGUNA','POTA_GRANDE_HP');
(4, 'POTA GRANDE ENE', 'CONSUMIBLE', '', '', '', +0, +0, +0, +50, +0, +0, +0, +0, +0, +0, +0, +50, 1, 'NINGUNA','POTA_GRANDE_ENE');
(10, 'ESPADA CORTA MADERA', 'ARMA', 'LIVIANA', 'ESPADA CORTA', 1, +0, +0, +0, +0, +5, +0, +0, +0, +0, +0, +0, +50, 1, 'NINGUNA','daga');
(11, 'ESPADA CORTA ESTAÑO', 'ARMA', 'LIVIANA', 'ESPADA CORTA', 1, +0, +0, +0, +0, +9, +0, +0, +0, +0, +0, +0, +200, 10, 'D','daga');
(12, 'ESPADA CORTA COBRE', 'ARMA', 'LIVIANA', 'ESPADA CORTA', 1, +0, +0, +0, +0, +20, +0, +0, +0, +0, +0, +0, +1500, 25, 'C','daga');
(13, 'ESPADA CORTA BRONCE', 'ARMA', 'LIVIANA', 'ESPADA CORTA', 1, +0, +0, +0, +0, +50, +0, +0, +3, +0, +0, +3, +10000, 40, 'B','daga');
(14, 'ESPADA CORTA HIERRO', 'ARMA', 'LIVIANA', 'ESPADA CORTA', 1, +0, +0, +0, +0, +100, +0, +0, +5, +0, +0, +3, +70000, 70, 'A','daga');
(15, 'ESPADA CORTA ACERO', 'ARMA', 'LIVIANA', 'ESPADA CORTA', 1, +0, +0, +0, +0, +300, +0, +0, +6, +0, +0, +5, +150000, 80, 'S','daga');
